gen_train_loss,gen_val_loss,dis_train_acc,dis_val_acc,dis_train_loss,dis_val_loss
0.1292468046506246,0.290484419631958,0.5750666666666666,0.6257,0.0033855191727479,0.0033537716150283
0.0856483331044515,0.2016816139221191,0.6869666666666666,0.5282,0.0029485389937957,0.0038629024803638
0.0613297519365946,0.2829734172821045,0.9182,0.6706,0.0019246091196934,0.0028354253530502
0.0515859226226806,0.2507058483123779,0.9752666666666666,0.9761,0.0016893768390019,0.0018370386928319
0.0456323205947876,0.2690529769897461,0.9836,0.9966,0.0016462360918521,0.0015875849217176
0.0433729279836018,0.2147933124542236,0.9866666666666668,0.8563,0.0016324134399493,0.0022078213721513
0.03023669368426,0.2114666946411132,0.9898,0.9566,0.0016165993104378,0.001787443190813
0.0280013817628224,0.2257589729309082,0.9912666666666666,0.9941,0.0016093543072541,0.0015976036250591
0.0849882305463155,0.217293769454956,0.9468,0.6315,0.001819295879205,0.0033587214469909
0.053826971801122,0.2163118095397949,0.9817,0.8265,0.001655165011684,0.00242324834764
0.0454527609825134,0.2396221031188964,0.9863,0.8135,0.0016336788376172,0.002430005633831
0.0421154236475626,0.2444092350006103,0.9870666666666666,0.9406,0.0016302255570888,0.0018542452663183
0.0398334393660227,0.231903136062622,0.9903333333333332,0.6291,0.0016133844991525,0.003394427371025
0.0357660942077636,0.2222127342224121,0.9903666666666666,0.7648,0.0016139221260945,0.0027089446961879
0.0242086542208989,0.1974130908966064,0.9856333333333334,0.6656,0.0016359236339728,0.0032235970556735
0.0227310931205749,0.2188130973815918,0.9916,0.7227,0.0016075713833173,0.0029473053216934
0.0217184145371119,0.2012534408569335,0.9934,0.7873,0.0016001792440811,0.0026024170517921
0.09046452741622925,0.21799396324157716,0.9377666666666666,0.6877,0.0018628012637297313,0.0030121779322624205
0.05358427700996399,0.2101336555480957,0.9834666666666667,0.9377,0.0016486981838941574,0.0018629169821739197
0.04554100847244263,0.21640126953125,0.9863666666666666,0.9676,0.0016316429456075033,0.0018866638213396072
0.0429245253721873,0.16237329082489013,0.9849,0.8822,0.001639530199766159,0.0021414131075143815
0.039625503381093344,0.19135475807189942,0.9892666666666666,0.8586,0.0016183111310005187,0.002292384535074234
0.03475359811782837,0.13766693878173827,0.9898,0.894,0.0016178580125172932,0.002088782638311386
0.03465839233398438,0.15896758937835692,0.9926333333333334,0.9697,0.001602783767382304,0.0017157177627086639
0.03279920245806376,0.15597767391204834,0.9928666666666667,0.917,0.0016018147786458334,0.0019656266540288925
0.03224452080726624,0.16893734531402588,0.9938666666666667,0.9742,0.0015962147265672685,0.001690148115158081
0.028308285490671794,0.1805786594390869,0.9928333333333333,0.9836,0.0016015534818172455,0.0016476989090442658
0.01913503025372823,0.18632572898864747,0.9946333333333334,0.9064,0.0015928484489520392,0.0020256331861019136
